Date/Time,CO2,Temperature,Humidity
2021-07-31 12:16:18,675,82,39
2021-07-31 12:17:18,675,83,39
2021-07-31 12:18:18,674,82,39
2021-07-31 12:19:19,684,83,38
2021-07-31 12:20:19,685,83,39
2021-07-31 12:21:19,683,83,39
2021-07-31 12:22:19,677,83,39
2021-07-31 12:23:19,676,83,38
2021-07-31 12:24:19,684,83,38
2021-07-31 12:25:19,652,83,38
2021-07-31 12:26:20,667,83,38
2021-07-31 12:27:20,682,83,38
2021-07-31 12:28:20,682,83,38
2021-07-31 12:29:20,668,83,38
2021-07-31 12:30:20,676,83,38
2021-07-31 12:31:20,679,83,38
2021-07-31 12:32:21,677,82,38
2021-07-31 12:33:21,692,82,37
2021-07-31 12:34:21,682,82,37
2021-07-31 12:35:21,714,82,37
2021-07-31 12:36:21,675,82,39
2021-07-31 12:37:21,689,82,39
2021-07-31 12:38:21,677,82,39
2021-07-31 12:39:22,672,82,39
2021-07-31 12:40:22,672,82,39
2021-07-31 12:41:22,675,82,39
2021-07-31 12:42:22,677,83,39
2021-07-31 12:43:22,678,82,39
2021-07-31 12:44:22,683,83,38
2021-07-31 12:45:23,676,83,38
2021-07-31 12:46:23,687,83,38
2021-07-31 12:47:23,678,83,38
2021-07-31 12:48:23,676,83,38
2021-07-31 12:49:23,679,83,38
2021-07-31 12:50:23,673,83,38
2021-07-31 12:51:23,672,83,38
2021-07-31 12:52:23,675,83,38
2021-07-31 12:53:24,674,83,38
2021-07-31 12:54:24,663,83,39
2021-07-31 12:55:24,690,83,39
2021-07-31 12:56:24,689,83,39
2021-07-31 12:57:24,681,82,38
2021-07-31 12:58:24,685,82,38
2021-07-31 12:59:24,684,82,37
2021-07-31 13:00:24,708,82,37
2021-07-31 13:01:25,676,82,37
2021-07-31 13:02:25,676,82,39
2021-07-31 13:03:25,672,82,39
2021-07-31 13:04:25,667,82,39
2021-07-31 13:05:25,680,82,39
2021-07-31 13:06:25,675,83,39
2021-07-31 13:07:25,671,83,38
2021-07-31 13:08:25,665,83,38
